"device","lat","lng","region","service","sub_service","sum_amount","count_amount","hour","minute","dofweek","day","month"
"VDC28317","8.06098499999999873 "," 98.9046949999999896","ภาคเหนือ","AIS","Top up TELCO",10.0,1,16,48,4,29,12
"VDC28684","8.79261333333333184 "," 99.9179633333333186","ภาคตะวันออก","TMNTOPUP","Top up Wallet",45.0,1,18,47,4,1,12
"VDC28813","15.7986216666666675 "," 102.254883333333325","ภาคกลาง","AIS","Top up TELCO",50.0,1,17,45,3,18,5
"VDC28973","8.4339716666666682 "," 99.9189816666666673","ภาคตะวันออก","TMNTOPUP","Top up Wallet",20.0,1,11,1,2,15,11
"VDC28982","12.6662666666666688 "," 100.93777","ภาคใต้","TMNTOPUP","Top up Wallet",20.0,1,16,35,5,18,3
"VDC28982","12.6662666666666688 "," 100.93777","ภาคใต้","TMNTOPUP","Top up Wallet",90.0,1,13,27,3,13,7
"VDC28982","12.6662666666666688 "," 100.93777","ภาคใต้","TMNTOPUP","Top up Wallet",20.0,1,19,56,5,23,12
"VDC29191","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,22,13,6,8,10
"VDC29220","14.84511 "," 100.631131666666661","ภาคกลาง","TMNTOPUP","Top up Wallet",45.0,1,15,49,1,19,12
"VDC29503","17.4888383333333337 "," 102.797538333333335","ภาคตะวันออกเฉียงเหนือ","DTAC","Top up TELCO",20.0,1,17,33,5,18,11
"VDC29504","17.2552466666666682 "," 104.186783333333338","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",10.0,1,14,20,5,26,8
"VDC29534","15.3233599999999992 "," 103.285288333333327","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",20.0,1,19,36,3,25,5
"VDC29556","16.9477683333333324 "," 103.419825000000003","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",50.0,1,10,19,6,31,12
"VDC29562","17.5823700000000009 "," 102.987368333333322","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",50.0,1,10,14,3,2,11
"VDC29569","17.4705983333333315 "," 104.102581666666666","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",30.0,1,9,38,6,31,12
"VDC29716","13.9342383333333331 "," 100.761083333333346","ภาคกลาง","TMNTOPUP","Top up Wallet",20.0,1,18,10,6,13,8
"VDC29726","13.6801549999999974 "," 100.472608333333326","ภาคกลาง","DTAC","Top up TELCO",300.0,1,8,18,6,8,10
"VDC29728","13.6004316666666689 "," 100.332235000000011","ภาคกลาง","AIS","Top up TELCO",10.0,1,20,19,4,20,10
"VDC29731","13.8977500000000003 "," 100.681184999999999","ภาคกลาง","AIS","Top up TELCO",40.0,1,17,28,2,6,12
"VDC29751","16.0431516666666667 "," 103.113001666666662","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",40.0,1,10,31,4,10,11
"VDC29760","0 "," 0","Offline","AIS","Top up TELCO",40.0,1,17,20,3,12,10
"VDC29760","0 "," 0","Offline","TRUE","Top up TELCO",100.0,1,6,29,0,9,10
"VDC29808","0 "," 0","Offline","TMNTOPUP","Top up Wallet",90.0,1,3,0,0,20,2
"VDC29812","0 "," 0","Offline","AIS","Top up TELCO",100.0,1,5,38,5,28,10
"VDC29840","6.43228666666666626 "," 101.819001666666679","ภาคตะวันออก","TMNTOPUP","Top up Wallet",20.0,1,2,10,5,30,12
"VDC29841","0 "," 0","Offline","AIS","Top up TELCO",100.0,1,17,32,2,9,8
"VDC29856","6.85444333333333411 "," 101.252870000000016","ภาคตะวันออก","AIS","Top up TELCO",20.0,1,20,9,2,18,10
"VDC30376","0 "," 0","Offline","AIS","Top up TELCO",20.0,1,13,9,2,27,12
"VDC30378","16.797625 "," 101.329653333333354","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",10.0,1,13,9,2,27,12
"VDC30383","16.7866500000000016 "," 101.248209999999986","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",10.0,1,13,9,2,27,12
"VDC30510","0 "," 0","Offline","TRUE","Top up TELCO",20.0,1,1,0,6,1,1
"VDC30557","17.2921016666666674 "," 102.683149999999998","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",45.0,1,5,4,3,1,6
"VDC30589","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,3,53,6,8,1
"VDC30617","8.70231000000000066 "," 99.9289799999999815","ภาคตะวันออก","TMNTOPUP","Top up Wallet",20.0,1,15,20,4,1,9
"VDC30627","8.51221333333333341 "," 99.8918216666666581","ภาคตะวันออก","TMHMOBILE","TMHMOBILE",0.0,1,8,0,5,14,1
"VDC30631","8.45157500000000006 "," 99.9179400000000015","ภาคตะวันออก","KTBDEPOSIT","Transfer to Bank",220.0,1,20,43,3,9,3
"VDC30928","14.9267800000000008 "," 101.785403333333335","ภาคกลาง","KBANKDEPOSIT","Transfer to Bank",390.0,1,4,0,4,22,12
"VDC30991","16.3330533333333321 "," 103.495705000000001","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",20.0,1,19,37,3,14,9
"VDC31085","0 "," 0","Offline","AIS","Top up TELCO",20.0,1,13,9,2,27,12
"VDC31122","0 "," 0","Offline","DTACPROSERM","Add Package",20.0,1,7,35,4,3,11
"VDC31341","18.2623316666666682 "," 103.978871666666663","ภาคตะวันออกเฉียงเหนือ","TMNTOPUP","Top up Wallet",90.0,1,21,58,3,27,4
"VDC31483","0 "," 0","Offline","GSBDEPOSITONLINE","Transfer to Bank",200.0,1,16,55,1,5,9
"VDC31487","0 "," 0","Offline","GSBDEPOSITONLINE","Transfer to Bank",40.0,1,21,10,4,11,8
"VDC31680","14.7495949999999993 "," 101.069046666666665","ภาคกลาง","TRUE","Top up TELCO",20.0,1,8,48,3,26,10
"VDC31808","14.507906666666667 "," 101.749633333333321","ภาคกลาง","TMNTOPUP","Top up Wallet",90.0,1,12,45,1,12,12
"VDC31843","15.0473700000000008 "," 102.184950000000001","ภาคกลาง","AIS","Top up TELCO",20.0,1,18,50,1,8,8
"VDC31955","13.8345800000000008 "," 100.861985000000004","ภาคกลาง","AIS","Top up TELCO",20.0,1,20,34,3,28,12
"VDC32021","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,10,42,5,11,11
"VDC32041","6.4306666666666672 "," 101.798074999999997","ภาคตะวันออก","TMNTOPUP","Top up Wallet",90.0,1,3,4,3,11,5
"VDC32135","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,16,57,4,15,12
"VDC32138","19.1456083333333318 "," 99.6165916666666789","ภาคเหนือ","AIS","Top up TELCO",30.0,1,16,30,3,1,6
"VDC32139","17.9829149999999984 "," 100.05300166666666","ภาคตะวันออกเฉียงเหนือ","TRUE","Top up TELCO",20.0,1,17,22,4,13,1
"VDC32140","0 "," 0","Offline","DTAC","Top up TELCO",40.0,1,23,1,3,10,8
"VDC32150","19.736693333333335 "," 100.202361666666675","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",100.0,1,8,50,4,1,9
"VDC32153","14.1513899999999992 "," 100.618974999999992","ภาคกลาง","AIS","Top up TELCO",20.0,1,19,23,2,2,8
"VDC32154","0 "," 0","Offline","TMNTOPUP","Top up Wallet",45.0,1,20,38,3,28,12
"VDC32158","0 "," 0","Offline","TMNTOPUP","Top up Wallet",20.0,1,13,35,2,19,7
"VDC32160","15.6407116666666681 "," 100.227998333333318","ภาคกลาง","TMNTOPUP","Top up Wallet",20.0,1,8,46,5,16,12
"VDC32165","14.2466300000000015 "," 100.701855000000009","ภาคกลาง","TRUE","Top up TELCO",20.0,1,8,20,3,13,4
"VDC32167","14.7839083333333328 "," 100.649698333333347","ภาคกลาง","AIS","Top up TELCO",30.0,1,8,4,0,28,8
"VDC32205","-2.71778666666666702 "," 99.7198116666666721",NULL,"DTACPROSERM","Add Package",20.0,1,21,28,4,10,2
"VDC32207","0 "," 0","Offline","TMNTOPUP","Top up Wallet",180.0,1,15,13,6,17,12
"VDC32209","20.0324899999999992 "," 99.8788433333333501","ภาคตะวันตก","AIS","Top up TELCO",20.0,1,11,41,1,11,4
"VDC32209","20.0324899999999992 "," 99.8788433333333501","ภาคตะวันตก","TRUE","Top up TELCO",20.0,1,12,10,5,13,5
"VDC32219","8.10862000000000016 "," 98.3084566666666717","ภาคเหนือ","AIS","Top up TELCO",20.0,1,8,3,5,29,4
"VDC32219","8.10862000000000016 "," 98.3084566666666717","ภาคเหนือ","TMNTOPUP","Top up Wallet",90.0,1,17,26,4,29,12
"VDC32220","14.6366200000000006 "," 101.130460000000014","ภาคกลาง","AIS","Top up TELCO",10.0,1,18,17,0,9,1
"VDC32220","14.6366200000000006 "," 101.130460000000014","ภาคกลาง","AIS","Top up TELCO",20.0,1,16,56,4,19,5
"VDC32224","7.79666000000000103 "," 98.33157833333334","ภาคเหนือ","TMNTOPUP","Top up Wallet",45.0,1,14,2,0,26,6
"VDC32226","19.3348766666666663 "," 100.134691666666669","ภาคตะวันออกเฉียงเหนือ","AIS","Top up TELCO",20.0,1,7,23,1,18,4
"VDC32342","0 "," 0","Offline","AIS","Top up TELCO",20.0,1,9,25,2,8,2
"VDC32342","0 "," 0","Offline","TRUE","Top up TELCO",200.0,1,15,18,2,8,2
"VDC32373","6.3862199999999989 "," 101.810824999999994","ภาคตะวันออก","AIS","Top up TELCO",50.0,1,12,25,3,8,6
"VDC32406","6.51939833333333318 "," 101.279031666666683","ภาคตะวันออก","AIS","Top up TELCO",20.0,1,22,40,3,6,4
"VDC32418","6.87448000000000015 "," 101.248659999999987","ภาคใต้","AIS","Top up TELCO",30.0,1,11,36,6,5,11
"VDC32479","14.8960116666666682 "," 100.353418333333323","ภาคกลาง","AIS","Top up TELCO",40.0,1,2,40,3,1,6
"VDC32575","13.676396666666669 "," 100.609095000000011","ภาคกลาง","AIS","Top up TELCO",50.0,1,6,3,6,15,10
