"entity","device","lat","lng"
"VDC","AJT100811","0 "," 0"
"VDC","AJT100812","0 "," 0"
"VDC","AJT100813","0 "," 0"
"VDC","AJT100814","17.4414540000000002 "," 102.876204999999999"
"VDC","AJT100815","0 "," 0"
"VDC","AJT100816","0 "," 0"
"VDC","AJT100817","16.2750470000000007 "," 102.734459000000001"
"VDC","AJT100818","0 "," 0"
"VDC","AJT100819","0 "," 0"
"VDC","AJT100820","0 "," 0"
"VDC","AJT100821","0 "," 0"
"VDC","AJT100822","0 "," 0"
"VDC","AJT100823","0 "," 0"
"VDC","AJT100824","0 "," 0"
"VDC","AJT100825","0 "," 0"
"VDC","AJT100827","0 "," 0"
"VDC","AJT100828","0 "," 0"
"VDC","AJT100829","0 "," 0"
"VDC","AJT100830","14.5497999999999994 "," 98.7800979999999953"
"VDC","AJT100831","0 "," 0"
"VDC","AJT100833","14.6788170000000004 "," 103.485946999999996"
"VDC","AJT100834","0 "," 0"
"VDC","AJT100839","0 "," 0"
"VDC","AJT100842","0 "," 0"
"VDC","AJT100845","0 "," 0"
"VDC","AJT100848","0 "," 0"
"VDC","AJT100850","0 "," 0"
"VDC","AJT100852","0 "," 0"
"VDC","AJT100854","0 "," 0"
"VDC","AJT100855","0 "," 0"
"VDC","AJT100856","0 "," 0"
"VDC","AJT100857","0 "," 0"
"VDC","AJT100858","0 "," 0"
"VDC","AJT100859","0 "," 0"
"VDC","AJT100861","0 "," 0"
"VDC","AJT100864","0 "," 0"
"VDC","AJT100865","0 "," 0"
"VDC","AJT100866","0 "," 0"
"VDC","AJT100870","0 "," 0"
"VDC","AJT100872","0 "," 0"
"VDC","AJT100874","0 "," 0"
"VDC","AJT100876","0 "," 0"
"VDC","AJT100879","0 "," 0"
"VDC","AJT100882","0 "," 0"
"VDC","AJT100884","0 "," 0"
"VDC","AJT100886","0 "," 0"
"VDC","AJT100888","0 "," 0"
"VDC","AJT100889","0 "," 0"
"VDC","AJT100891","0 "," 0"
"VDC","AJT100892","0 "," 0"
"VDC","AJT100893","0 "," 0"
"VDC","AJT100896","0 "," 0"
"VDC","AJT100897","0 "," 0"
"VDC","AJT100898","0 "," 0"
"VDC","AJT100901","0 "," 0"
"VDC","AJT100902","0 "," 0"
"VDC","AJT100903","0 "," 0"
"VDC","AJT100904","0 "," 0"
"VDC","AJT100905","0 "," 0"
"VDC","AJT100906","0 "," 0"
"VDC","AJT100907","0 "," 0"
"VDC","AJT100908","0 "," 0"
"VDC","AJT100909","0 "," 0"
"VDC","AJT100910","0 "," 0"
"VDC","AJT100911","0 "," 0"
"VDC","AJT100912","0 "," 0"
"VDC","AJT100913","0 "," 0"
"VDC","AJT100914","0 "," 0"
"VDC","AJT100923","0 "," 0"
"VDC","AJT100929","0 "," 0"
"VDC","AJT100930","0 "," 0"
"VDC","AJT100931","9.20056300000000071 "," 99.6776430000000033"
"VDC","AJT100932","0 "," 0"
"VDC","AJT100933","0 "," 0"
"VDC","AJT100934","0 "," 0"
"VDC","AJT100935","0 "," 0"
"VDC","AJT100936","0 "," 0"
"VDC","AJT100937","0 "," 0"
"VDC","AJT100938","0 "," 0"
"VDC","AJT100939","0 "," 0"
"VDC","AJT10094","0 "," 0"
"VDC","AJT100940","0 "," 0"
"VDC","AJT100941","0 "," 0"
"VDC","AJT100942","0 "," 0"
"VDC","AJT100943","0 "," 0"
"VDC","AJT100944","0 "," 0"
"VDC","AJT100945","0 "," 0"
"VDC","AJT100946","0 "," 0"
"VDC","AJT100947","0 "," 0"
"VDC","AJT100949","0 "," 0"
"VDC","AJT100951","0 "," 0"
"VDC","AJT100953","0 "," 0"
"VDC","AJT100956","0 "," 0"
"VDC","AJT100958","0 "," 0"
"VDC","AJT100959","0 "," 0"
"VDC","AJT100960","0 "," 0"
"VDC","AJT100961","0 "," 0"
"VDC","AJT100963","0 "," 0"
"VDC","AJT100964","0 "," 0"
"VDC","AJT100965","0 "," 0"
"VDC","AJT100966","0 "," 0"
"VDC","AJT100968","0 "," 0"
"VDC","AJT100969","0 "," 0"
"VDC","AJT100970","0 "," 0"
"VDC","AJT100971","0 "," 0"
"VDC","AJT100972","0 "," 0"
"VDC","AJT100973","0 "," 0"
"VDC","AJT100974","0 "," 0"
"VDC","AJT100975","0 "," 0"
"VDC","AJT100978","16.5290679999999988 "," 102.517944"
"VDC","AJT100979","0 "," 0"
"VDC","AJT100981","0 "," 0"
"VDC","AJT100982","0 "," 0"
"VDC","AJT100984","0 "," 0"
"VDC","AJT100985","13.7379280000000001 "," 100.264313000000001"
